99 21  21 84  84 12  12 86  86 58  58 89  89 97  97 35  35 85  85 54  54 12  12 15  15 8  8 35  35 61  61 91  91 74  74 4  4 39  39 87  87 55  55 91  91 44  44 60  60 6  6 96  96 51  51 51  51 37  37 30  30 24  24 90  90 27  27 65  65 94  94 20  20 17  17 4  4 87  87 20  20 48  48 26  26 38  38 7  7 11  11 79  79 81  81 81  81 44  44 68
40 82  82 77  77 42  42 31  31 47  47 82  82 7  7 89  89 41  41 18  18 66  66 87  87 21  21 91  91 84  84 3  3 28  28 95  95 82  82 64  64 79  79 14  14 95  95 29  29 74  74 7  7 59  59 47  47 91  91 89  89 44  44 24  24 99  99 28  28 22  22 67  67 52  52 78  78 21  21 41  41 60  60 47  47 67  67 45  45 26  26 38  38 94  94 94  94 47  47 38

40 82  82 77  77 42  42 31  31 47  47 82  82 7  7 89  89 41  41 18  18 66  66 87  87 21  21 91  91 84  84 3  3 28  28 95  95 82  82 64  64 79  79 14  14 95  95 29  29 74  74 7  7 59  59 47  47 91  91 89  89 44  44 24  24 99  99 28  28 22  22 67  67 52  52 78  78 21  21 41  41 60  60 47  47 67  67 45  45 26  26 38  38 94  94 94  94 47  47 38
86 54  54 78  78 58  58 33  33 27  27 57  57 35  35 83  83 86  86 77  77 98  98 76  76 42  42 28  28 71  71 82  82 20  20 87  87 85  85 78  78 60  60 96  96 29  29 49  49 85  85 23  23 71  71 51  51 12  12 65  65 17  17 37  37 64  64 68  68 24  24 49  49 80  80 1  1 46  46 87  87 95  95 91  91 87  87 60  60 68  68 15  15 36  36 67  67 63  63 79

86 54  54 78  78 58  58 33  33 27  27 57  57 35  35 83  83 86  86 77  77 98  98 76  76 42  42 28  28 71  71 82  82 20  20 87  87 85  85 78  78 60  60 96  96 29  29 49  49 85  85 23  23 71  71 51  51 12  12 65  65 17  17 37  37 64  64 68  68 24  24 49  49 80  80 1  1 46  46 87  87 95  95 91  91 87  87 60  60 68  68 15  15 36  36 67  67 63  63 79
2 37  37 54  54 95  95 69  69 43  43 88  88 78  78 59  59 23  23 34  34 39  39 92  92 37  37 37  37 1  1 90  90 84  84 38  38 48  48 52  52 59  59 23  23 30  30 65  65 26  26 24  24 83  83 73  73 69  69 63  63 54  54 67  67 90  90 83  83 8  8 21  21 4  4 90  90 27  27 50  50 53  53 50  50 39  39 17  17 45  45 69  69 16  16 95  95 60  60 14

2 37  37 54  54 95  95 69  69 43  43 88  88 78  78 59  59 23  23 34  34 39  39 92  92 37  37 37  37 1  1 90  90 84  84 38  38 48  48 52  52 59  59 23  23 30  30 65  65 26  26 24  24 83  83 73  73 69  69 63  63 54  54 67  67 90  90 83  83 8  8 21  21 4  4 90  90 27  27 50  50 53  53 50  50 39  39 17  17 45  45 69  69 16  16 95  95 60  60 14
32 81  81 6  6 9  9 94  94 3  3 89  89 66  66 15  15 16  16 4  4 48  48 36  36 60  60 79  79 81  81 85  85 66  66 97  97 7  7 33  33 22  22 32  32 86  86 99  99 90  90 18  18 34  34 2  2 37  37 68  68 86  86 98  98 45  45 83  83 97  97 47  47 37  37 7  7 15  15 31  31 13  13 45  45 38  38 6  6 36  36 29  29 88  88 54  54 7  7 89

32 81  81 6  6 9  9 94  94 3  3 89  89 66  66 15  15 16  16 4  4 48  48 36  36 60  60 79  79 81  81 85  85 66  66 97  97 7  7 33  33 22  22 32  32 86  86 99  99 90  90 18  18 34  34 2  2 37  37 68  68 86  86 98  98 45  45 83  83 97  97 47  47 37  37 7  7 15  15 31  31 13  13 45  45 38  38 6  6 36  36 29  29 88  88 54  54 7  7 89
16 73  73 7  7 3  3 22  22 57  57 59  59 18  18 41  41 86  86 50  50 87  87 46  46 60  60 39  39 77  77 47  47 64  64 59  59 30  30 59  59 60  60 78  78 90  90 69  69 5  5 51  51 79  79 27  27 50  50 34  34 63  63 68  68 17  17 18  18 81  81 9  9 15  15 53  53 27  27 64  64 21  21 50  50 78  78 57  57 59  59 49  49 69  69 12  12 1  1 68

16 73  73 7  7 3  3 22  22 57  57 59  59 18  18 41  41 86  86 50  50 87  87 46  46 60  60 39  39 77  77 47  47 64  64 59  59 30  30 59  59 60  60 78  78 90  90 69  69 5  5 51  51 79  79 27  27 50  50 34  34 63  63 68  68 17  17 18  18 81  81 9  9 15  15 53  53 27  27 64  64 21  21 50  50 78  78 57  57 59  59 49  49 69  69 12  12 1  1 68
22 59  59 80  80 47  47 68  68 59  59 53  53 30  30 43  43 43  43 77  77 41  41 8  8 9  9 16  16 48  48 13  13 3  3 60  60 39  39 32  32 23  23 60  60 46  46 47  47 76  76 77  77 66  66 94  94 99  99 11  11 85  85 61  61 17  17 99  99 5  5 27  27 80  80 15  15 43  43 85  85 50  50 39  39 70  70 47  47 34  34 26  26 43  43 44  44 11  11 42

